C,
0.021282624,
-0.010840987,
0.001918906,
0.000451303,
0.000946002,
0.000614818,
0.00078593,
0.000686448,
0.000581181,
0.000233393,
0.000881982,
0.000133682,
0.000475815,
0.00029541,
0.000277195,
0.000282122,
0.000412443,
0.000293709,
0.000337803,
0.000278672,
0.000219569,
0.000297914,
0.000156729,
0.000235326,
0.000133121,
0.000179832,
-2.57E-05,
-0.000106062,
-1.70E-07,
0.000137385,
0.00016812,
-0.010840987,
0.028155523,
-0.002217372,
0.001702096,
7.49E-05,
0.000322072,
0.000380364,
0.000273869,
0.000424157,
0.000487528,
0.000266347,
0.000303495,
0.000406317,
0.000468708,
0.000447992,
0.000398765,
0.000464972,
0.000403793,
0.000455978,
0.000468308,
0.000417199,
0.000444382,
0.000351282,
0.000399516,
8.40E-05,
0.000167664,
-8.66E-05,
1.54E-05,
-2.11E-06,
7.63E-05,
0.000243036,
0.001918906,
-0.002217372,
0.006162082,
-0.001593345,
0.001463033,
0.000419102,
0.000715039,
0.000580567,
0.000664662,
0.000465883,
0.000613823,
0.000268641,
0.00057085,
0.000376127,
0.000405972,
0.000352803,
0.000456079,
0.000340168,
0.000412555,
0.000355266,
0.000317787,
0.000341862,
0.000242845,
0.00028907,
0.000119407,
0.00015244,
-6.96E-05,
-3.31E-05,
-4.47E-05,
3.76E-05,
0.000209113,
0.000451303,
0.001702096,
-0.001593345,
0.00523509,
-0.000722252,
0.00077657,
0.000588303,
0.000591845,
0.000583386,
0.000403702,
0.000651305,
0.000212968,
0.000555068,
0.00035305,
0.000355136,
0.00032329,
0.000442339,
0.00031971,
0.000372439,
0.000337532,
0.00028863,
0.000343688,
0.000210887,
0.000272229,
9.21E-05,
0.000167489,
-4.85E-05,
-2.94E-05,
-2.11E-05,
5.08E-05,
0.000229595,
0.000946002,
7.49E-05,
0.001463033,
-0.000722252,
0.007303522,
-0.000508652,
0.001026117,
0.000514324,
0.000596399,
0.000315228,
0.00062113,
0.000247795,
0.000493729,
0.000320658,
0.000375788,
0.00029097,
0.000383356,
0.000286691,
0.000350944,
0.000300007,
0.000269558,
0.000313237,
0.00019808,
0.000251568,
9.99E-05,
0.000126009,
1.87E-05,
4.64E-05,
1.37E-05,
1.04E-05,
0.000203765,
0.000614818,
0.000322072,
0.000419102,
0.00077657,
-0.000508652,
0.003150025,
-0.000249896,
0.000800073,
0.000431431,
0.000358981,
0.000414483,
0.000173046,
0.000514352,
0.00023187,
0.000248695,
0.000221819,
0.000293081,
0.000187661,
0.000245501,
0.00019805,
0.000175045,
0.000231984,
0.000126245,
0.000210222,
0.000103663,
0.00017015,
5.19E-05,
6.61E-05,
-8.06E-06,
-5.17E-05,
0.000308074,
0.00078593,
0.000380364,
0.000715039,
0.000588303,
0.001026117,
